"Identyfikator Produktu (ID)";"Indeks produktu";"Atrybut (Nazwa:Typ:Pozycja)*";"Wartość (Wartość:Pozycja)*"
96;"";"Rozmiar:select:1";"33/36"
96;"";"Rozmiar:select:1";"34/32"
96;"";"Rozmiar:select:1";"34/34"
96;"";"Rozmiar:select:1";"34/36"
96;"";"Rozmiar:select:1";"36/32"
96;"";"Rozmiar:select:1";"36/34"
97;"";"Rozmiar:select:1";"29/32"
97;"";"Rozmiar:select:1";"30/32"
97;"";"Rozmiar:select:1";"31/32"
97;"";"Rozmiar:select:1";"31/34"
97;"";"Rozmiar:select:1";"32/32"
97;"";"Rozmiar:select:1";"32/34"
97;"";"Rozmiar:select:1";"33/32"
97;"";"Rozmiar:select:1";"33/34"
97;"";"Rozmiar:select:1";"33/36"
97;"";"Rozmiar:select:1";"34/32"
97;"";"Rozmiar:select:1";"34/34"
97;"";"Rozmiar:select:1";"34/36"
97;"";"Rozmiar:select:1";"36/32"
97;"";"Rozmiar:select:1";"36/34"
98;"";"Rozmiar:select:1";"30/32"
98;"";"Rozmiar:select:1";"31/32"
98;"";"Rozmiar:select:1";"32/32"
98;"";"Rozmiar:select:1";"32/34"
