"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena bez podatku. (netto)"
307;1;"Skórzane buty typu derby";"TataKobasa";"549,90"
308;1;"Skórzane buty typu derby";"TataKobasa";"549,90"
309;1;"Skórzane buty typu derby";"TataKobasa";"549,90"
310;1;"Skórzane buty typu derby";"TataKobasa";"549,90"
311;1;"Skórzane buty typu derby";"TataKobasa";"549,90"
312;1;"Skórzane buty typu derby";"TataKobasa";"599,90"
313;1;"Skórzane buty typu derby, klasyczne do garnituru";"TataKobasa";"549,90"
314;1;"Skórzane buty typu oxford, klasyczne do garnituru";"TataKobasa";"699,00"
315;1;"Skórzana teczka";"TataKobasa";"999,90"
316;1;"Teczka skórzana";"TataKobasa";"1499,90"
317;1;"Skórzana teczka";"TataKobasa";"999,90"
318;1;"Skórzana torba";"TataKobasa";"599,90"
319;1;"Torba skórzana";"TataKobasa";"999,90"
320;1;"Torba skórzana";"TataKobasa";"999,90"
321;1;"Torba skórzana";"TataKobasa";"999,90"
322;1;"Torba skórzana";"TataKobasa";"999,90"
323;1;"Torba skórzana";"TataKobasa";"999,90"
324;1;"Torba skórzana";"TataKobasa";"999,90"
325;1;"Walizka kabinowa";"TataKobasa";"399,00"
326;1;"Legginsy bieliźniane";"TataKobasa";"79,90"
327;1;"Koszulka bieliźniana";"TataKobasa";"129,90"
328;1;"Legginsy bieliźniane";"TataKobasa";"79,90"
329;1;"Koszulka bieliźniana";"TataKobasa";"129,90"
330;1;"Bokserki";"TataKobasa";"69,90"
331;1;"Slipy";"TataKobasa";"59,90"
332;1;"Slipy";"TataKobasa";"59,90"
333;1;"Slipy";"TataKobasa";"59,90"
334;1;"Bransoleta";"TataKobasa";"119,90"
335;1;"Bransoleta";"TataKobasa";"119,90"
336;1;"Skórzana bransoleta";"TataKobasa";"99,90"
337;1;"Skórzana bransoleta";"TataKobasa";"99,90"
338;1;"Bransoleta z czarnego agatu";"TataKobasa";"99,90"
339;1;"Bransoleta z kamieni półszlachetnych";"TataKobasa";"99,90"
340;1;"Bransoleta";"TataKobasa";"79,90"
341;1;"Bransoleta";"TataKobasa";"99,90"
342;1;"Bransoleta z kamieni szlachetnych";"TataKobasa";"99,90"
343;1;"Czapka";"TataKobasa";"119,90"
344;1;"Czapka";"TataKobasa";"119,90"
345;1;"Czapka";"TataKobasa";"119,90"
346;1;"Wełniana czapka z domieszką kaszmiru";"TataKobasa";"199,90"
347;1;"Wełniana czapka z domieszką kaszmiru";"TataKobasa";"199,90"
348;1;"Kaszmirowa czapka";"TataKobasa";"299,90"
349;1;"Kaszmirowa czapka";"TataKobasa";"299,90"
350;1;"Wełniana czapka z dodatkiem poliamidu";"TataKobasa";"119,90"
351;1;"Wełniana czapka z dodatkiem poliamidu";"TataKobasa";"119,90"
352;1;"Wełniana czapka z dodatkiem poliamidu";"TataKobasa";"119,90"
353;1;"Bawełniana czapka";"TataKobasa";"79,90"
354;1;"Bawełniana czapka";"TataKobasa";"79,90"
355;1;"Czapka";"TataKobasa";"119,90"
356;1;"Czapka";"TataKobasa";"119,90"
357;1;"Czapka";"TataKobasa";"149,90"
358;1;"Czapka";"TataKobasa";"149,90"
359;1;"Czapka";"TataKobasa";"149,90"
360;1;"Czapka";"TataKobasa";"149,90"
361;1;"Kaszkiet";"TataKobasa";"99,90"
362;1;"Kaszkiet";"TataKobasa";"99,90"
363;1;"Czapka typu beanie";"TataKobasa";"119,90"
364;1;"Czapka typu beanie";"TataKobasa";"119,90"
365;1;"VISTULA|PZPN - Jedwabny krawat z logo";"TataKobasa";"249,90"
366;1;"Jedwabny krawat w kropki";"TataKobasa";"129,90"
367;1;"Jedwabny krawat w mikrowzór";"TataKobasa";"129,90"
368;1;"Jedwabny krawat w mikrowzór";"TataKobasa";"129,90"
369;1;"Krawat z dzianiny strukturalnej";"TataKobasa";"149,90"
370;1;"Krawat z dzianiny strukturalnej";"TataKobasa";"149,90"
371;1;"Krawat z dzianiny strukturalnej";"TataKobasa";"149,90"
372;1;"Jedwabny krawat w kwiatowy wzór";"TataKobasa";"129,90"
373;1;"Jedwabny krawat w mikrowzór";"TataKobasa";"129,90"
374;1;"Jedwabny krawat w mikrowzór";"TataKobasa";"129,90"
375;1;"Jedwabny krawat w mikrowzór";"TataKobasa";"129,90"
376;1;"Jedwabny krawat w mikrowzór";"TataKobasa";"129,90"
377;1;"Jedwabny krawat w mikrowzór";"TataKobasa";"129,90"
378;1;"Jedwabny krawat we wzór paisley";"TataKobasa";"149,90"
379;1;"Jedwabny krawat we wzór paisley";"TataKobasa";"149,90"
380;1;"Jedwabny krawat we wzór paisley";"TataKobasa";"149,90"
381;1;"Jedwabny krawat we wzór paisley";"TataKobasa";"149,90"
382;1;"Jedwabny krawat we wzór paisley";"TataKobasa";"149,90"
383;1;"Jedwabny krawat we wzór paisley";"TataKobasa";"149,90"
384;1;"Jedwabny krawat w kropki";"TataKobasa";"129,90"
385;1;"Jedwabny krawat w geometryczny wzór";"TataKobasa";"129,90"
386;1;"Jedwabny krawat w geometryczny wzór";"TataKobasa";"99,90"
387;1;"Jedwabny krawat w geometryczny wzór";"TataKobasa";"99,90"
388;1;"Jedwabny krawat w kratę";"TataKobasa";"99,90"
